Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Master_Swing,Candle No.,Slope,Price Delta,H-L,H-C,L-C,TR,ATR,Impluse Strength,Intermediate_Swing,ISL_Price,ISH_Price,ISH_Price_Ffill,ISL_Price_Ffill,Breaker_Signal,Bearish BOS,Bullish BOS,ISL Sweep,ISH Sweep,ISL Sweep Strength,ISH Sweep Strength,ISL_Sweep+BOS,ISH_Sweep+BOS,FVG_Bullish,FVG_Bearish,FVG_Bullish_Strength,FVG_Bearish_Strength,Swing_Low_value,Proximity_to_ISL
2026-03-27 12:15:00+05:30,474.79998779296875,481.25,473.45001220703125,481.25,1394036,0.0,0.0,,119,,,7.79998779296875,6.25,-1.54998779296875,7.79998779296875,6.300000871930804,,,,,,,,,,False,False,,,False,False,True,False,1.2380931291170179,,,False
2026-03-27 13:15:00+05:30,481.45001220703125,490.6499938964844,481.3500061035156,489.25,2805915,0.0,0.0,,118,,,9.29998779296875,9.399993896484375,0.100006103515625,9.399993896484375,7.371429443359375,,,,,,,,,,False,False,,,False,False,True,False,1.261626101752454,,,False
2026-03-27 14:15:00+05:30,489.3999938964844,494.6499938964844,481.79998779296875,494.45001220703125,4707550,0.0,0.0,,117,,,12.850006103515625,5.399993896484375,-7.45001220703125,12.850006103515625,8.728572300502233,,,,,,,,,,False,False,,,False,False,True,False,1.472177311606418,,,False
2026-03-27 15:15:00+05:30,494.3999938964844,497.6000061035156,492.3999938964844,493.45001220703125,2511275,0.0,0.0,Swing High,116,Buy Slope,1.2800048828125,5.20001220703125,3.149993896484375,-2.050018310546875,5.20001220703125,9.042859758649554,0.2545461165995483,Intermediate Swing High,,497.6000061035156,497.6000061035156,,False,False,False,False,False,,,False,False,False,False,,,,False
2026-03-30 09:15:00+05:30,483.20001220703125,484.6499938964844,470.54998779296875,471.6499938964844,0,0.0,0.0,,115,,,14.100006103515625,-8.800018310546875,-22.9000244140625,14.100006103515625,9.142861502511161,,,,,497.6000061035156,,,,,False,False,,,False,False,False,True,,1.5421874321997489,,False
2026-03-30 10:15:00+05:30,471.6499938964844,471.6499938964844,465.45001220703125,465.8500061035156,1648372,0.0,0.0,,114,,,6.199981689453125,0.0,-6.199981689453125,6.199981689453125,9.114283970424108,,,,,497.6000061035156,,,,,False,False,,,False,False,False,True,,0.6802489048588011,,False
2026-03-30 11:15:00+05:30,465.8500061035156,469.3500061035156,464.04998779296875,469.3500061035156,1511627,0.0,0.0,,113,,,5.300018310546875,3.5,-1.800018310546875,5.300018310546875,8.692858014787946,,,,,497.6000061035156,,,,,False,False,,,False,False,False,False,,,,False
2026-03-30 12:15:00+05:30,469.29998779296875,471.0,462.6499938964844,463.6000061035156,1557975,0.0,0.0,Swing High,112,,,8.350006103515625,1.649993896484375,-6.70001220703125,8.350006103515625,8.771432059151786,,,,,497.6000061035156,,False,False,False,False,False,,,False,False,False,True,,0.951954714715431,,False
2026-03-30 13:15:00+05:30,463.6000061035156,463.75,456.29998779296875,459.0,1894863,0.0,0.0,,111,,,7.45001220703125,0.149993896484375,-7.300018310546875,7.45001220703125,8.492863246372767,,,,,497.6000061035156,,,,,False,False,,,False,False,False,True,,0.8772085445050689,,False
2026-03-30 14:15:00+05:30,458.20001220703125,459.5,452.04998779296875,455.0,2804283,0.0,0.0,,110,,,7.45001220703125,0.5,-6.95001220703125,7.45001220703125,7.721435546875,,,,,497.6000061035156,,,,,False,False,,,False,False,False,False,,,,False
